 |leo| | |41|4000| 
34|leo|8:08:53 PM| |0|200|10/21/2006 12:00:00 AM
36|leo|8:09:08 PM| |11|1000|10/21/2006 12:00:00 AM
42|leo|9:23:04 PM| |30|2800|10/21/2006 12:00:00 AM
